level,qId,order,question_text,help_text,label1,label2,label3,label4,label5
1,L1Q1,1,Are you baligh?,Age of maturity in fiqh.,Yes,No,,,
1,L1Q2,2,Are you sane?,,Yes,No,,,
1,L1Q3,3,Is your insanity permanent?,,Yes,No,,,
1,L1Q4,4,Is your insanity only during Hajj season?,,Yes,No,,,
1,L1Q5,5,Is your sanity period enough to allow you to perform Hajj and its prerequisites?,,Yes,No,,,
2,L2Q1,1,"Does your health allow you to travel to and stay in Makkah, as well as perform Hajj without hardship?",,Yes,No,,,
2,L2Q2,2,Are you hopeful that the excuse will go away and you will be able to perform Hajj yourself?,,Yes,No,,,
3,L3Q1,1,Do the sources of your funds for Hajj a gift package (full gift package or partial gift package)?,,Yes,No,,,
3,L3Q2,2,"1) Provisions for Hajj.

2) Travel expenses for Hajj.

3) Living expenses of dependents (and others) while you are away for Hajj.


Does your Hajj gift package fully cover the above mentioned costs based on your status?",,Yes,No,,,
3,L3Q3,3,Do you only earn during the Hajj season and use those earnings to survive the rest of the year such that if you go to Hajj you won’t be able to survive the rest of the year?,,Yes,No,,,
3,L3Q4,4,Do you have any debts to pay?,,Yes,No,,,
3,L3Q5,5,Will going to Hajj result in you not being able to pay those loans on their due date?,,Yes,No,,,
3,L3Q6,6,Does your partial Hajj gift package combined with your personal extra funds cover the mentioned costs based on your status?,,Yes,No,,,
3,L3Q7,7,"Do you possess (in kind or cash) all the provisions needed for your trip — food, hotel, and other necessities of travel?",,Yes,No,,,
3,L3Q8,8,Do you possess the means of transportation (or funds to pay for travel costs) to Hajj?,,Yes,No,,,
3,L3Q9,9,Do you have the ability to pay (while away for Hajj) the expenses of those whose maintenance is obligatory on you (e.g. wife and children) and those whose expenses are not obligatory but whose hardship would cause you distress?,,Yes,No,,,
3,L3Q10,10,Is it possible to sell the loan at a lower price (as long as it is not considered an extreme loss) such that the price suffices for Hajj expenses?,,Yes,No,,,
3,L3Q11,11,Has the due date of the outstanding loan arrived?,,Yes,No,,,
3,L3Q12,12,"Can you religiously get back the loan (or do taqaas) without undergoing severe hardship, even if by taking the matter to court?",,Yes,No,,,
3,L3Q13,13,Is the borrower voluntarily returning the loan before time?,,Yes,No,,,
3,L3Q14,14,Is the delay in loan payment (until the deadline) in the benefit of the borrower?,,Yes,No,,,
3,L3Q15,15,Is it possible to sell the loan at a lower price (as long as it is not considered an extreme loss) such that the price suffices for Hajj expenses?,,Yes,No,,,
3,L3Q16,16,Do you have khums or zakat obligations which if paid will not leave you with sufficient funds to do Hajj?,,Yes,No,,,
3,L3Q17,17,Do you have a debt (regardless of due date) which if paid will not leave you with sufficient funds to do Hajj?,,Yes,No,,,
3,L3Q18,18,Is the due date of your debt abnormally distant (e.g. 50 years from now) such that people generally ignore such debts?,,Yes,No,Some,,
3,L3Q19,19,"Does this situation apply to you: you had the Hajj money first, then incurred a debt due to your own negligence?",,Yes,No,,,
3,L3Q20,20,"If you ignore the abnormally delayed debts and pay the remaining ones, will it leave you with sufficient funds for Hajj?",,Yes,No,,,
3,L3Q21,21,Do you have resources (actual or potential) to continue your and your family’s expenses after returning from Hajj?,In other words your financial condition should be such that you do not fear poverty for yourself or your family after Hajj if you spend your funds. Includes examples of employment and asset cases where this applies.,Yes,No,,,
4,L4Q1,1,"Are there any restrictions on your travel to Makkah, such as a travel embargo, visa limitations, or any other conditions that prevent you from traveling there?",,Yes,No,,,
4,L4Q2,2,"Is the route to Hajj considered safe in terms of the security of (i) life, (ii) wealth, and (iii) honour?",,Yes,No,,,
4,L4Q3,3,"Will undertaking the Hajj cause you to lose your wealth in your hometown, resulting in financial hardship for you?","If there is an obstacle on the way that can only be removed by spending money, and doing so would cause hardship, then it is not obligatory (wajib) to spend that money, and Hajj does not become wajib. However, if spending that money does not cause hardship, then it is wajib to do so, and Hajj becomes obligatory.",Yes,No,,,
5,L5Q1,1,Is there sufficient time to travel to and perform Hajj without causing hardship?,,Yes,No,,,
6,L6Q1,1,Would performing Hajj cause you to neglect or abandon another obligation (wajib) that is more important?,,Yes,No,,,
,L6Q2,2,Does performing Hajj involve committing a haram act that is more important to avoid than performing the Hajj itself?,,Yes,No,,,
,L6Q3,3,Would performing Hajj cause you to neglect another wajib that is equally important as Hajj?,,Yes,No,,,
,L6Q4,4,"If you had not spent the money, would you have been able to perform Hajj — meaning all the other necessary conditions would have been fulfilled?",,Yes,No,,,
,L6Q5,5,Does performing Hajj involve committing a haram act that is equally important to avoid as performing the Hajj itself?,,Yes,No,,,