level,qId,input_type,field,option_label,option_value,next,fail_reason,set_vars,phrase,guard_if_var,guard_op,guard_value,guard_next,guard_reason,fallback
1,L1Q1,bool,L1Q1_baligh,Yes,TRUE,L1Q2,,,,,,,,,FAIL
1,L1Q1,bool,L1Q1_baligh,No,FALSE,FAIL,A,,,,,,,FAIL,
1,L1Q2,bool,L1Q2_sane,Yes,TRUE,END,A,END_PHRASE=K,K,,,,,,
1,L1Q2,bool,L1Q2_sane,No,FALSE,L1Q3,,,,,,,,FAIL,
1,L1Q3,bool,L1Q3_insanity_permanent,Yes,TRUE,FAIL,L,,,,,,,,
1,L1Q3,bool,L1Q3_insanity_permanent,No,FALSE,L1Q4,,,,,,,,,
1,L1Q4,bool,L1Q4_insanity_only_hajj_season,Yes,TRUE,END,,NIYABAT=true,K,,,,,,
1,L1Q4,bool,L1Q4_insanity_only_hajj_season,No,FALSE,L1Q5,,,,,,,FAIL,,
1,L1Q5,bool,L1Q5_sanity_enough_for_hajj,Yes,TRUE,END,,END_PHRASE=K,K,,,,,,
1,L1Q5,bool,L1Q5_sanity_enough_for_hajj,No,FALSE,FAIL,L,,,,,,FAIL,,
2,L2Q1,bool,L2Q1_health_allows_travel,Yes,TRUE,END,,END_PHRASE=K,K,,,,,,
2,L2Q1,bool,L2Q1_health_allows_travel,No,FALSE,L2Q2,,,,,,,,FAIL,
2,L2Q2,bool,L2Q2_hopeful_recovery,Yes,TRUE,END,,END_PHRASE=M;HEALTH_STATE=ORANGE,M,,,,,,
2,L2Q2,bool,L2Q2_hopeful_recovery,No,FALSE,END,,END_PHRASE=N;HEALTH_STATE=YELLOW,N,,,,,,
3,L3Q1,options,L3Q1_fund_source,Full Package,OP1,L3Q2,,GIFT=true,V,HEALTH_STATE,#ERROR!,GREEN,,,
3,L3Q1,options,L3Q1_fund_source,Full Package,OP1,FAIL,X,GIFT=true,X,HEALTH_STATE,!=,GREEN,,,
3,L3Q1,options,L3Q1_fund_source,Partial Package,OP2,L3Q6,,GIFT=true,Y,HEALTH_STATE,#ERROR!,GREEN,,,
3,L3Q1,options,L3Q1_fund_source,Partial Package,OP2,FAIL,X,GIFT=true,X,HEALTH_STATE,!=,GREEN,,,
3,L3Q1,options,L3Q1_fund_source,Other,OP3,L3Q7,,,T,,,,,,
3,L3Q2,bool,L3Q2_package_fully_covers,Yes,TRUE,L3Q3,,,,,,,,,
3,L3Q2,bool,L3Q2_package_fully_covers,No,FALSE,L3Q1,,GIFT=false,,,,,,,
3,L3Q3,bool,L3Q3_earns_only_hajj_season,Yes,TRUE,FAIL,L,,,,,,,,
3,L3Q3,bool,L3Q3_earns_only_hajj_season,No,FALSE,L3Q4,,,,,,,,,
3,L3Q4,bool,L3Q4_have_debts,Yes,TRUE,L3Q5,,,,,,,,,
3,L3Q4,bool,L3Q4_have_debts,No,FALSE,END,,,COMPUTER,,,,,,
3,L3Q5,bool,L3Q5_unable_to_pay_loans,Yes,TRUE,FAIL,L,,,,,,,,
3,L3Q5,bool,L3Q5_unable_to_pay_loans,No,FALSE,END,,,COMPUTER,,,,,,
3,L3Q6,bool,L3Q6_partial_gift_covers,Yes,TRUE,L3Q3,,,,,,,,,
3,L3Q6,bool,L3Q6_partial_gift_covers,No,FALSE,FAIL,L,,,,,,,,
3,L3Q7,bool,L3Q7_have_provisions,Yes,TRUE,L3Q8,,,,,,,,,
3,L3Q7,bool,L3Q7_have_provisions,No,FALSE,L3Q8,,,,,,,,,
3,L3Q7,text,L3Q7_have_provisions,Don't know,,,,,,,J,,,,
3,L3Q8,bool,L3Q8_have_transportation,Yes,TRUE,L3Q9,,,,,,,,,
3,L3Q8,bool,L3Q8_have_transportation,No,FALSE,L3Q9,,,,,,,,,
3,L3Q8,text,L3Q8_have_transportation,Don't know,,,,,,,J,,,,
3,L3Q9,bool,L3Q9_can_pay_dependents,Yes,TRUE,L3Q11,,,,,,,,,
3,L3Q9,bool,L3Q9_can_pay_dependents,No,FALSE,L3Q16,,,,,,,,,
3,L3Q10,bool,L3Q10_sell_loan_possible,Yes,TRUE,L3Q11,,,,,,,,,
3,L3Q10,bool,L3Q10_sell_loan_possible,No,FALSE,FAIL,L,,,,,,,,
3,L3Q11,bool,L3Q11_due_date_arrived,Yes,TRUE,L3Q12,,,,,,,,,
3,L3Q11,bool,L3Q11_due_date_arrived,No,FALSE,L3Q13,,,,,,,,,
3,L3Q12,bool,L3Q12_can_get_loan_back,Yes,TRUE,L3Q16,,,,,,,,,
3,L3Q12,bool,L3Q12_can_get_loan_back,No,FALSE,L3Q15,,,,,,,,,
3,L3Q13,bool,L3Q13_borrower_returning_loan,Yes,TRUE,L3Q16,,,,,,,,,
3,L3Q13,bool,L3Q13_borrower_returning_loan,No,FALSE,L3Q14,,,,,,,,,
3,L3Q14,bool,L3Q14_delay_benefit_borrower,Yes,TRUE,L3Q15,,,,,,,,,
3,L3Q14,bool,L3Q14_delay_benefit_borrower,No,FALSE,FAIL,L,,,,,,,,
3,L3Q15,bool,L3Q15_sell_loan_lower_price,Yes,TRUE,L3Q16,,,,,,,,,
3,L3Q15,bool,L3Q15_sell_loan_lower_price,No,FALSE,FAIL,L,,,,,,,,
3,L3Q16,bool,L3Q16_have_khums_zakat,Yes,TRUE,FAIL,L,PRINT=ZC,ZC,,,,,,
3,L3Q16,bool,L3Q16_have_khums_zakat,No,FALSE,L3Q17,,,,,,,,,
3,L3Q17,bool,L3Q17_have_debt,Yes,TRUE,L3Q18,,,,,,,,,
3,L3Q17,bool,L3Q17_have_debt,No,FALSE,KIFAYA,,,,,,,,,
3,L3Q18,options,L3Q18_due_date_distant,Yes,OP1,KIFAYA,,,,,,,,,
3,L3Q18,options,L3Q18_due_date_distant,No,OP2,L3Q19,,,,,,,,,
3,L3Q18,options,L3Q18_due_date_distant,Some,OP3,L3Q20,,,,,,,,,
3,L3Q19,bool,L3Q19_had_money_then_debt,Yes,TRUE,KIFAYA,,,,,,,,,
3,L3Q19,bool,L3Q19_had_money_then_debt,No,FALSE,FAIL,L,,,,,,,,
3,L3Q20,bool,L3Q20_after_paying_remaining_debts_sufficient,Yes,TRUE,KIFAYA,,,,,,,,,
3,L3Q20,bool,L3Q20_after_paying_remaining_debts_sufficient,No,FALSE,L3Q19,,,,,,,,,
3,L3Q21,bool,L3Q21_have_resources_post_hajj,Yes,TRUE,END,,END_PHRASE=K,K,,,,,,
3,L3Q21,bool,L3Q21_have_resources_post_hajj,No,FALSE,FAIL,L,,,,,,,,
4,L4Q1,bool,L4Q1_visa_embargo,Yes,TRUE,FAIL,L,,,,,,,,
4,L4Q1,bool,L4Q1_visa_embargo,No,FALSE,L4Q2,,,,,,,,,
4,L4Q2,bool,L4Q2_safety,Yes,TRUE,L4Q3,,,,,,,,,
4,L4Q2,bool,L4Q2_safety,No,FALSE,FAIL,L,,,,,,,,
4,L4Q3,bool,L4Q3_financial_hurdle,Yes,TRUE,FAIL,L,,,,,,,,
4,L4Q3,bool,L4Q3_financial_hurdle,No,FALSE,END,,,,,,,,,
5,L5Q1,bool,L5Q1_time,Yes,TRUE,END,,,,,,,,,
5,L5Q1,bool,L5Q1_time,No,FALSE,FAIL,ZD,END_PHRASE=ZD,,,,,,,
6,L6Q1,bool,L6Q1_misc,Yes,TRUE,FAIL,ZE,END_PHRASE=ZE,,,,,,,
6,L6Q1,bool,L6Q1_misc,No,FALSE,L6Q2,,,,,,,,,
6,L6Q2,bool,L6Q2_misc,Yes,TRUE,FAIL,ZF,END_PHRASE=ZF,,,,,,,
6,L6Q2,bool,L6Q2_misc,No,FALSE,,,,,,,,,,
6,L6Q3,bool,L6Q3_misc,Yes,TRUE,,,,,,,,,,
6,L6Q3,bool,L6Q3_misc,No,FALSE,,,,,,,,,,
6,L6Q4,bool,L6Q4_misc,Yes,TRUE,,,,,,,,,,
6,L6Q4,bool,L6Q4_misc,No,FALSE,,,,,,,,,,
6,L6Q5,bool,L6Q5_misc,Yes,TRUE,,,,,,,,,,
6,L6Q5,bool,L6Q5_misc,No,FALSE,,,,,,,,,,